
 .... [TRUNCATED] 
<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<< 
 > Dato                                      :  Wed Dec  3 13:26:13 2014 
 > Slag                                      :  UP 
 > Ár                                        :  2014 
 > Skipabólk/-ar                             :  19 20 
 > Byrjanar og enda mánaŵ fyri ALK/ALD       :  JAN-JUN 
 > Skipabólk/-ar, sum longdir eru lántar frá :  0 
 > Skipabólk/-ar, sum vektir eru lántar frá  :  0 
 > Skipabólk/-ar, sum aldrar eru lántar frá  :  0 
 > ICES-øki                                  :  VB1 
 <<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<
 .... [TRUNCATED] 
>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> 
> Alpha	 = 0.0150516
> Beta	 = 2.84779
> R^2	 = 0.9771282
> N	 = 7794
> Veida (kg.)	  = 55555
> Rundveida (kg.) = 61666.05
<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<
 .... [TRUNCATED] 
>>>>>>>>>>>>>> 	 ALK-lykil 	 <<<<<<<<<<<<
 .... [TRUNCATED] 
$ALK
    longd 0 1 2 3  4  5  6  7 8 9 10 11 12 13 14 15 Sum Matad
1       1 0 0 0 0  0  0  0  0 0 0  0  0  0  0  0  0   0     0
2       2 0 0 0 0  0  0  0  0 0 0  0  0  0  0  0  0   0     0
3       3 0 0 0 0  0  0  0  0 0 0  0  0  0  0  0  0   0     0
4       4 0 0 0 0  0  0  0  0 0 0  0  0  0  0  0  0   0     0
5       5 0 0 0 0  0  0  0  0 0 0  0  0  0  0  0  0   0     0
6       6 0 0 0 0  0  0  0  0 0 0  0  0  0  0  0  0   0     0
7       7 0 0 0 0  0  0  0  0 0 0  0  0  0  0  0  0   0     0
8       8 0 0 0 0  0  0  0  0 0 0  0  0  0  0  0  0   0     0
9       9 0 0 0 0  0  0  0  0 0 0  0  0  0  0  0  0   0     0
10     10 0 0 0 0  0  0  0  0 0 0  0  0  0  0  0  0   0     0
11     11 0 0 0 0  0  0  0  0 0 0  0  0  0  0  0  0   0     0
12     12 0 0 0 0  0  0  0  0 0 0  0  0  0  0  0  0   0     0
13     13 0 0 0 0  0  0  0  0 0 0  0  0  0  0  0  0   0     0
14     14 0 0 0 0  0  0  0  0 0 0  0  0  0  0  0  0   0     0
15     15 0 0 0 0  0  0  0  0 0 0  0  0  0  0  0  0   0     0
16     16 0 0 0 0  0  0  0  0 0 0  0  0  0  0  0  0   0     0
17     17 0 0 0 0  0  0  0  0 0 0  0  0  0  0  0  0   0     0
18     18 0 0 0 0  0  0  0  0 0 0  0  0  0  0  0  0   0     0
19     19 0 0 0 0  0  0  0  0 0 0  0  0  0  0  0  0   0     0
20     20 0 0 0 0  0  0  0  0 0 0  0  0  0  0  0  0   0     0
21     21 0 0 0 0  0  0  0  0 0 0  0  0  0  0  0  0   0     0
22     22 0 0 0 0  0  0  0  0 0 0  0  0  0  0  0  0   0     0
23     23 0 0 0 0  0  0  0  0 0 0  0  0  0  0  0  0   0     0
24     24 0 0 0 0  0  0  0  0 0 0  0  0  0  0  0  0   0     0
25     25 0 0 0 0  0  0  0  0 0 0  0  0  0  0  0  0   0     0
26     26 0 0 0 0  0  0  0  0 0 0  0  0  0  0  0  0   0     0
27     27 0 0 0 0  0  0  0  0 0 0  0  0  0  0  0  0   0     0
28     28 0 0 0 0  0  0  0  0 0 0  0  0  0  0  0  0   0     0
29     29 0 0 0 0  0  0  0  0 0 0  0  0  0  0  0  0   0     0
30     30 0 0 0 0  0  0  0  0 0 0  0  0  0  0  0  0   0     0
31     31 0 0 0 0  0  0  0  0 0 0  0  0  0  0  0  0   0     0
32     32 0 0 0 0  0  0  0  0 0 0  0  0  0  0  0  0   0     0
33     33 0 0 0 0  0  0  0  0 0 0  0  0  0  0  0  0   0     0
34     34 0 0 0 0  0  0  0  0 0 0  0  0  0  0  0  0   0     0
35     35 0 0 0 0  0  0  0  0 0 0  0  0  0  0  0  0   0     0
36     36 0 0 0 0  0  0  0  0 0 0  0  0  0  0  0  0   0     0
37     37 0 0 0 0  0  0  0  0 0 0  0  0  0  0  0  0   0     0
38     38 0 0 0 0  0  0  0  0 0 0  0  0  0  0  0  0   0     0
39     39 0 0 0 0  0  0  0  0 0 0  0  0  0  0  0  0   0     1
40     40 0 0 0 0  1  0  0  0 0 0  0  0  0  0  0  0   1    12
41     41 0 0 0 0  0  0  0  0 0 0  0  0  0  0  0  0   0    20
42     42 0 0 0 1  0  0  0  0 0 0  0  0  0  0  0  0   1    30
43     43 0 0 0 0  0  0  0  0 0 0  0  0  0  0  0  0   0    57
44     44 0 0 0 2  1  0  0  0 0 0  0  0  0  0  0  0   3    76
45     45 0 0 0 0  0  0  0  0 0 0  0  0  0  0  0  0   0    95
46     46 0 0 0 0  1  0  0  0 0 0  0  0  0  0  0  0   1   101
47     47 0 0 0 1  2  1  0  0 0 0  0  0  0  0  0  0   4    98
48     48 0 0 0 3  7  2  0  0 0 0  0  0  0  0  0  0  12   113
49     49 0 0 0 4  4  2  0  0 0 0  0  0  0  0  0  0  10   121
50     50 0 0 0 1 13  1  0  0 0 0  0  0  0  0  0  0  15   155
51     51 0 0 0 4 20  3  0  0 0 0  0  0  0  0  0  0  27   187
52     52 0 0 0 3 19  8  1  1 0 0  0  0  0  0  0  0  32   274
53     53 0 0 0 4 28 15  1  0 0 0  0  0  0  0  0  0  48   328
54     54 0 0 0 1 40 19  2  0 0 0  0  0  0  0  0  0  62   431
55     55 0 0 0 5 27 25  4  1 0 0  0  0  0  0  0  0  62   416
56     56 0 0 0 1 29 35  2  0 0 0  0  0  0  0  0  0  67   455
57     57 0 0 0 3 24 39  3  3 0 0  0  0  0  0  0  0  72   517
58     58 0 0 0 1 19 36  7  1 0 0  0  0  0  0  0  0  64   483
59     59 0 0 0 0 26 55 10  2 0 0  0  0  0  0  0  0  93   471
60     60 0 0 0 0 14 53  9  1 0 0  0  0  0  0  0  0  77   527
61     61 0 0 0 0  7 51 16  4 1 0  0  0  0  0  0  0  79   517
62     62 0 0 0 0  4 44 16  4 0 0  0  0  0  0  0  0  68   454
63     63 0 0 0 0  2 30 21  3 0 0  0  0  0  0  0  0  56   397
64     64 0 0 0 0  5 30  9  5 0 0  0  0  0  0  0  0  49   368
