DRIFT	REID	DRBOLKUR	BRTFRA	BRTTIL	HKFRA	HKTIL	LYSING	lysing_stutt	upsi_alloc
1	LI	A	0	5	0	99999	Opnir_bátar	LB	annad1
2	SN	A	0	5	0	99999	Opnir_bátar	SB	snella
4	LI	B	5	25	0	99999	Línubátar_0-25_BRT	LB<100	annad1
5	LI	B	25	40	0	99999	Línubátar_25-40_BRT	LB<100	annad1
6	LI	B	40	60	0	99999	Línubátar_40-60_BRT	LB<100	annad1
7	LI	B	60	99	0	99999	Línubátar_60-100_BRT	LB<100	annad1
8	GA	C	0	99	0	99999	Garnabátar_0-100_BRT	GB<100	annad1
9	SN	D	5	99	0	99999	Snellubátar_0-100_BRT	SB	snella
10	BO	E	0	99999	0	399	Smáir_trolarar_0-400_HK	LT_0-400	annad2
10	PF	E	0	99999	0	399	Smáir_trolarar_0-400_HK	LT_0-400	annad2
10	FL	E	0	99999	0	399	Smáir_trolarar_0-400_HK	LT_0-400	annad2
11	BO	F	0	99999	400	699	Smáir_trolarar_400-700_HK	LT_400-700	annad2
11	FL	F	0	99999	400	699	Smáir_trolarar_400-700_HK	LT_400-700	annad2
11	PF	F	0	99999	400	699	Smáir_trolarar_400-700_HK	LT_400-700	annad2
12	BO	F	0	99999	700	999	Smáir_trolarar_700-1000_HK	LT_700-1000	annad2
12	PF	F	0	99999	700	999	Smáir_trolarar_700-1000_HK	LT_700-1000	annad2
12	FL	F	0	99999	700	999	Smáir_trolarar_700-1000_HK	LT_700-1000	annad2
13	BO	G	0	99999	1000	1499	Millumstórir_trolarar_1000-1500_HK	LT>1000	LT>1000
13	FL	G	0	99999	1000	1499	Millumstórir_trolarar_1000-1500_HK	LT>1000	LT>1000
14	BO	H	0	99999	1500	1999	Størri_trolarar_1500-2000_HK	LT>1000	LT>1000
14	FL	H	0	99999	1500	1999	Størri_trolarar_1500-2000_HK	LT>1000	LT>1000
14	PF	H	0	99999	1500	1999	Størri_trolarar_1500-2000_HK	LT>1000	LT>1000
15	BO	I	0	99999	2000	99999	Djúpvatnstrolarar_2000-_HK	LT>1000	LT>1000
15	PF	I	0	99999	2000	99999	Djúpvatnstrolarar_2000-_HK	LT>1000	LT>1000
15	FL	I	0	99999	2000	99999	Djúpvatnstrolarar_2000-_HK	LT>1000	LT>1000
16	IP	J	0	99999	0	399	Smáir_partrolarar_0-400_HK	PT<1000	PT<1000
17	IP	J	0	99999	400	699	Smáir_partrolarar_400-700_HK	PT<1000	PT<1000
18	IP	J	0	99999	700	999	Smáir_partrolarar_700-1000_HK	PT<1000	PT<1000
19	IP	K	0	99999	1000	1499	Størri_partrolarar_1000-1500_HK	PT>1000	PT>1000
19	PF	K	0	99999	1000	1499	Størri_partrolarar_1000-1500_HK	PT>1000	PT>1000
20	IP	K	0	99999	1500	1999	Størri_partrolarar_1500-2000_HK	PT>1000	PT>1000
21	IP	K	0	99999	2000	99999	Størri_partrolarir_2000-_HK	PT>1000	PT>1000
22	LI	L	100	99999	0	99999	Stál_línuskip_100-_BRT	LS>100	annad2
23	GA	C	100	99999	0	99999	Stál_garnaskip_100-_BRT	GS>100	annad2
24	SN	D	100	99999	0	99999	Stál_snelluskip_100-_BRT	SS>100	snella
26	IF	M	0	99999	0	99999	Íðnaðar_flóti-_og_partrol	IFP	NA
26	II	M	0	99999	0	99999	Íðnaðar_flóti-_og_partrol	IFP	NA
28	NO	N	0	99999	0	99999	Nótabátar_(kraftblokkur)	NB	annad2
28	KB	N	0	99999	0	99999	Nótabátar_(kraftblokkur)	NB	annad2
30	RE	O	0	99999	0	99999	Rækjutrol	RAE	NA
31	IB	P	0	99999	0	99999	Íðnaðarbotntrol	IBT	NA
32	LL	A	0	99999	0	99999	Bátur_(0-25)_BRT	B_0-25	NA
34	TN	A	0	99999	0	99999	Teinir	TE	NA
35	DR	A	0	99999	0	99999	Skeljadregg	SKE	NA
