IKKI JAVNAÐ						
	aldur	tal_matad	tal_fiska	midal_longd	midal_vekt	roknad_veida
	0	0	0	0	0	0
	1	0	0	0	0	0
	2	0	0	0	0	0
	3	471	216753	46.59	0.888	192481
	4	1920	883482	57.42	1.579	1394709
	5	1162	534564	63.14	2.05	1095968
	6	1395	641990	68.62	2.579	1655950
	7	328	150830	73.49	3.118	470310
	8	390	179355	77.94	3.652	655034
	9	520	239357	80.24	3.969	949970
	10	350	160998	83.48	4.439	714642
	11	284	130467	86.06	4.845	632116
	12	97	44736	90.24	5.513	246639
	13	14	6254	88.46	5.28	33021
	14	5	2301	106	8.531	19628
	15	0	0	0	0	0
	Sum	6936	3191087	66.55	2.526	8060468
						
 JAVNAÐ						
	aldur	tal_matad	tal_fiskad	midal_longd	midal_vekt	roknad_veida
	0	0	0	0	0	0
	1	0	0	0	0	0
	2	0	0	0	0	0
	3	684	311692	45.04	0.809	252071
	4	1791	816294	58.15	1.625	1326771
	5	1168	532387	63.23	2.055	1093897
	6	1394	635491	68.62	2.585	1642943
	7	343	156373	73.74	3.158	493790
	8	420	191196	78.15	3.68	703684
	9	539	245567	80.29	3.973	975715
	10	338	154002	83.58	4.457	686337
	11	265	120872	85.61	4.781	577872
	12	88	40056	92.46	5.846	234166
	13	20	9268	100.67	6.191	57379
	14	4	1857	106	8.531	15841
	15	0	0	0	0	0
	Sum	7054	3215055	66.22	2.507	8060466
